organizationid,reason,failing_class,entrypoint,line,count
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BulkIntegrationLog,/mockRequest/BatchApexChunk/Serial,193,45789
sample_orgid,Developer script exception from sample-customer,ITA_IFM_ContentVersionTrigger,/aura ServerServiceImpl::action serviceComponent://ui.chatter.components.aura.components.forceChatter.chatter.PublisherFileAttachmentController/ACTION$saveContentVersion,66,3640
sample_orgid,Developer script exception from sample-customer,ITA_IFM_InstallmentPlan_Controller,/apex/ITA_IFM_InstallmentPlan,1558,1432
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Interaction_Controller,/apex/ITA_IFM_Interaction,222,1098
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/services/Soap/u/47.0,317,959
sample_orgid,Developer script exception from sample-customer,ITA_IFM_DM017_AccountContactRole,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,3079,896
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BA013_CvpTimeOut,/mockRequest/BatchApexChunk/Serial,341,702
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFC033_EstrattoConto,/apex/ITA_IFM_VFP033_EstrattoConto,286,604
sample_orgid,Developer script exception from sample-customer,ITA_IFM_DM017_AccountContactRole,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,28,273
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFCXXX_VariazionaAnagAccount2,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,659,192
sample_orgid,Developer script exception from sample-customer,ITA_IFM_DM000_SObject,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,659,187
sample_orgid,Developer script exception from sample-customer,ITA_IFM_WSAsset2Order,/services/apexrest/ITA_IFM_WSAsset2Order,79,185
sample_orgid,Developer script exception from sample-customer,ITA_IFM_InstallmentPlan_Controller,/apex/ITA_IFM_InstallmentPlan,999,151
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFC037_ContactList,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,48,111
sample_orgid,Developer script exception from sample-customer,ITA_IFM_InstallmentPlan_Controller,/apex/ITA_IFM_InstallmentPlan,2753,79
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/Soap/c/63.0,809,72
sample_orgid,,,/mockRequest/QueuedApexJob,,66
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/services/Soap/u/47.0,501,65
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/mockRequest/QueuedApexJob,501,65
sample_orgid,Developer script exception from sample-customer,ITA_IFM_CustomerCommunityUserService,/services/apexrest/ITA_IFM_CustomerCommunityUserService,62,51
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/Soap/c/63.0,529,41
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/services/Soap/u/47.0,493,40
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Trigger,/apex/ITA_IFM_VFP033_ManageVas,59,33
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/mockRequest/ApexFuture,1062,32
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/apex/ITA_IFM_VFP033_ManageVas,59,25
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Trigger,/apex/ITA_IFM_VFP063_Management_Loyalty,67,21
sample_orgid,,,/mockRequest/ApexFuture,,21
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/services/Soap/class/ITA_IFM_WS017_R2DResult,1413,20
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Annulment_UtilClass_CB,/apex/ITA_IFM_VFP204_TakeOverCombined,1232,20
sample_orgid,Developer script exception from sample-customer,ITA_IFM_StateMachineQueue,/mockRequest/QueuedApexJob,79,16
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BA016_SWAPrecheck2g,/mockRequest/BatchApexChunk/Serial,67,14
sample_orgid,Developer script exception from sample-customer,ITA_IFM_AccountTrigger,/apexremote,,13
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Validation_Document_Trigger,/apexremote,1662,13
sample_orgid,Developer script exception from sample-customer,PhaseManagerUtils_1_1,/apex/ITA_IFM_VFP098_OrderItemAnnulment,13,10
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFC033_VarAnagResidenziale,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,27,9
sample_orgid,Developer script exception from sample-customer,ITA_IFM_CVP_Pre_Inbound,/services/Soap/class/ITA_IFM_CVP_Pre_Inbound,129,9
sample_orgid,Developer script exception from sample-customer,ITA_IFM_DM000_SObject,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,657,9
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BulkReprocActivities_Schedule,/mockRequest/BatchApexJobItem,96,8
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Item_Trigger,/services/apexrest/DocInbound,39,7
sample_orgid,Developer script exception from sample-customer,ITA_IFM_SM082_ManageAppointment,/apex/ITA_IFM_VFP082_ManageAppointmentCaseItem,252,7
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Validation_Document_Trigger,/apexremote,73,6
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BA020_BonusDiscountOfferCode,/mockRequest/BatchApexJobItem,78,6
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/aura ServerServiceImpl::action apex://ITA_IFM_VFC211_CheckGdM/ACTION$submitQuoteRequest,1413,5
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFC204_TakeOverCombined,/apex/ITA_IFM_VFP204_TakeOverCombined,734,5
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Activity_Trigger,/aura ServerServiceImpl::action apex://ITA_IFM_VFC107_ActivityLayout/ACTION$saveActivitySrv,825,4
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Util300_RVC,/mockRequest/ApexFuture,1948,3
sample_orgid,Developer script exception from sample-customer,ITA_IFM_MultiSiteRequestItem_Trigger,/services/Soap/u/36.0,1131,3
sample_orgid,Developer script exception from sample-customer,ITA_IFM_UtilClass,/mockRequest/ApexFuture,5709,3
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TGi8AUAT,564,3
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFC033_EstrattoConto,/apex/ITA_IFM_VFP033_EstrattoConto,391,3
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFC204_TakeOverCombined,/apex/ITA_IFM_VFP204_TakeOverCombined,382,3
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/aura ServerServiceImpl::action apex://ITA_IFM_VFC407_Spostamenti/ACTION$submitQuoteRequest,1413,3
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TrXy4UAF,564,3
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/aura ServerServiceImpl::action apex://ITA_IFM_LCC003_AutoReadingMeter/ACTION$invokeEsecutiva,59,3
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Queue_406_Del153CreateOrder,/mockRequest/QueuedApexJob,113,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_InstallmentPlan_Controller,/apex/ITA_IFM_InstallmentPlan,2412,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/Soap/c/63.0,966,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BulkReprocActivities_Schedule,/mockRequest/BatchApexJobItem,84,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Trigger,/aura ServerServiceImpl::action apex://ITA_IFM_LCC003_AutoReadingMeter/ACTION$invokeEsecutiva,59,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Util702_CadastralData,/mockRequest/ApexFuture,127,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Document_trigger,/services/Soap/u/47.0,178,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_InstallmentPlan_Controller,/apex/ITA_IFM_InstallmentPlan,990,2
sample_orgid,Developer script exception from sample-customer,GCDH_BS_Certification_Executed,/mockRequest/ApexFuture,173,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_DM000_SObject,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,655,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TNI0OUAX,564,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Quote_Trigger,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC126_agreements_container.saveAgreements),189,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_LCC159_Cart,/mockRequest/ApexFuture,120,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Annulment_UtilClass_CB,/apex/ITA_IFM_VFP098_OrderItemAnnulment,13,2
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Queueable_401_PrevComm,/mockRequest/QueuedApexJob,56,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000UTl3yUAD,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/apexremote,872,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000UEM8XUAX,546,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BA605_AgenzieOffertabilita,/mockRequest/BatchApexJobItem,,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TG8NcUAL,781,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v64.0/sobjects/NE__OrderItem__c/a1QbQ00000SjtDCUAZ,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/mockRequest/QueuedApexJob,167,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000T1OdzUAF,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_UTL007_ChangeServicePower,/mockRequest/ApexFuture,37,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000VDEORUA5,31,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/mockRequest/ApexFuture,104,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000VgGTXUA3,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_LCC244_DeprovCaseContainer,/mockRequest/ApexFuture,517,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TEP7YUAX,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/mockRequest/ApexFuture,809,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TeHG3UAN,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/mockRequest/ApexFuture,1399,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000Smnj5UAB,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000Tjd1KUAR,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BA011_ManageCDCOfferStatus,/mockRequest/BatchApexJob,58,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TqB6pUAF,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFC066_DocTitolare,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,22,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_AttachmentTrigger,/aura ServerServiceImpl::action apex://ITA_IFM_LCC043_LocalUploadService/ACTION$saveChunk,203,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_EM007_Document,/mockRequest/ApexFuture,,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TNI0OUAX,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Proved_Payment_Controller,/apex/ITA_IFM_Proved_Payment,1520,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Doc_Outbound_TriggerHandler,/mockRequest/QueuedApexJob,,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TBAjOUAX,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000UmSP0UAN,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000Uo6vQUAR,529,1
sample_orgid,Developer script exception from sample-customer,fflib_SObjectDomain,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,659,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Queue_VoltureSendDocument,/mockRequest/QueuedApexJob,,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v64.0/sobjects/NE__OrderItem__c/a1QbQ00000SsJwoUAF,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_InstallmentPlan_Controller,/mockRequest/ApexFuture,2546,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/services/data/v63.0/sobjects/ITA_IFM_Case_Items__c/a38bQ00000Omvr2QAB,761,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v64.0/sobjects/NE__OrderItem__c/a1QbQ00000U3FnqUAF,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Trigger,/apex/ITA_IFM_VFP033_ManageVasCloseCase,59,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BA016_SWAPrecheck2g,/mockRequest/BatchApexChunk/Serial,49,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFCXXX_VariazionaAnagAccount2,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,655,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000UsjF7UAJ,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Trigger,/mockRequest/QueuedApexJob,360,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000UtvMDUAZ,781,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v64.0/sobjects/NE__OrderItem__c/a1QbQ00000VKo2AUAT,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000UOOwuUAH,529,1
sample_orgid,Developer script exception from sample-customer,PhaseManagerUtils_1_1,/apex/ITA_IFM_VFP083_CaseAnnulment,13,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_InstallmentPlan_Controller,/apex/ITA_IFM_InstallmentPlan,1826,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Activity_Trigger,/aura ServerServiceImpl::action apex://ITA_IFM_LCC312_VBL/ACTION$callVBL,409,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v64.0/sobjects/NE__OrderItem__c/a1QbQ00000USlsMUAT,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_SAPPreliminaryChecks_Future,/mockRequest/ApexFuture,176,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/mockRequest/ApexFuture,67,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v64.0/sobjects/NE__OrderItem__c/a1QbQ00000TybCDUAZ,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Queue0010_OM_SendOrder,/mockRequest/QueuedApexJob,18,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Document_trigger,/aura ServerServiceImpl::action apex://ITA_IFM_LCC043_LocalUploadService/ACTION$saveChunk,73,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000UtvMEUAZ,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000T5x5SUAR,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Document_trigger,/mockRequest/ApexFuture,178,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v64.0/sobjects/NE__OrderItem__c/a1QbQ00000TySddUAF,529,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Queueable_021_SendComunication,/mockRequest/QueuedApexJob,40,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/mockRequest/QueuedApexJob,52,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TO91ZUAT,564,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/aura ServerServiceImpl::action apex://ITA_IFM_LCC149_QuoteAddressSection/ACTION$updateQuote,872,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFC035_QuoteButtons_Controller,/apex/ITA_IFM_VFP035_QuoteButtons,929,1
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/data/v63.0/sobjects/NE__OrderItem__c/a1QbQ00000TG8NdUAL,564,1